web-scraper-order,web-scraper-start-url,spray-link,spray-link-href,name,hex,ref
"1649325594-142","https://www.sprayplanet.com/collections/hardcore","Black (HRV-9011)","https://www.sprayplanet.com/collections/hardcore/products/hardcore-black","MTN Hardcore Spray Paint - Black (HRV-9011)","Hex #000000","MTN Hardcore Spray Paint - Black (HRV-9011)"
"1649325435-111","https://www.sprayplanet.com/collections/hardcore","Madrid Red (HRV-241)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-madrid-red","MTN Hardcore Spray Paint - Madrid Red (HRV-241)","Hex: #E5352D","MTN Hardcore Spray Paint - Madrid Red (HRV-241)"
"1649325461-115","https://www.sprayplanet.com/collections/hardcore","Flamingo (HRV-259)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-flamingo","MTN Hardcore Spray Paint - Flamingo (HRV-259)","Hex: #FF958E","MTN Hardcore Spray Paint - Flamingo (HRV-259)"
"1649325263-89","https://www.sprayplanet.com/collections/hardcore","Galaxy Violet (HRV-264)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-galaxy-violet","MTN Hardcore Spray Paint - Galaxy Violet (HRV-264)","Hex: #2F2280","MTN Hardcore Spray Paint - Galaxy Violet (HRV-264)"
"1649325296-94","https://www.sprayplanet.com/collections/hardcore","Malva (HRV-256)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-malva","MTN Hardcore Spray Paint - Malva (HRV-256)","Hex: #ACA6D1","MTN Hardcore Spray Paint - Malva (HRV-256)"
"1649325430-110","https://www.sprayplanet.com/collections/hardcore","Soviet Red (HRV-242)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-soviet-red","MTN Hardcore Spray Paint - Soviet Red (HRV-242)","Hex: #8d0000","MTN Hardcore Spray Paint - Soviet Red (HRV-242)"
"1649325457-114","https://www.sprayplanet.com/collections/hardcore","Colorado Red (HRV-33)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-colorado-red","MTN Hardcore Spray Paint - Colorado Red (HRV-33)","Hex: #E74F45","MTN Hardcore Spray Paint - Colorado Red (HRV-33)"
"1649325118-66","https://www.sprayplanet.com/collections/hardcore","NEW Fukushima Blue (HRV-355)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-fukushima-blue","MTN Hardcore Spray Paint - NEW Fukushima Blue (HRV-355)","Hex #8ECFD3","MTN Hardcore Spray Paint - NEW Fukushima Blue (HRV-355)"
"1649324892-25","https://www.sprayplanet.com/collections/hardcore","Forest Green (HRV-251)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-forest-green","MTN Hardcore Spray Paint - Forest Green (HRV-251)","Hex: #46502c","MTN Hardcore Spray Paint - Forest Green (HRV-251)"
"1649325078-58","https://www.sprayplanet.com/collections/hardcore","NEW Iceberg Blue (HRV-357)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-iceberg-blue","MTN Hardcore Spray Paint - NEW Iceberg Blue (HRV-357)","Hex #6EC3BF","MTN Hardcore Spray Paint - NEW Iceberg Blue (HRV-357)"
"1649325518-126","https://www.sprayplanet.com/collections/hardcore","Mango (HRV-207)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mango","MTN Hardcore Spray Paint - Mango (HRV-207)","Hex: #E77A19","MTN Hardcore Spray Paint - Mango (HRV-207)"
"1649325231-84","https://www.sprayplanet.com/collections/hardcore","NEW Julione Blue (HRV-353)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-julione-blue","MTN Hardcore Spray Paint - NEW Julione Blue (HRV-353)","Hex #40549f","MTN Hardcore Spray Paint - NEW Julione Blue (HRV-353)"
"1649324814-10","https://www.sprayplanet.com/collections/hardcore","Light Grey (HRV-6)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-light-grey","MTN Hardcore Spray Paint - Light Grey (HRV-6)","Hex: #878787","MTN Hardcore Spray Paint - Light Grey (HRV-6)"
"1649325167-73","https://www.sprayplanet.com/collections/hardcore","NEW Himalayan Blue (HRV-13)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-himalayan-blue","MTN Hardcore Spray Paint - NEW Himalayan Blue (HRV-13)","Hex #86CEE1","MTN Hardcore Spray Paint - NEW Himalayan Blue (HRV-13)"
"1649324842-15","https://www.sprayplanet.com/collections/hardcore","NEW Arkalis Grey (HRV-55)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-arkalis-grey","MTN Hardcore Spray Paint - NEW Arkalis Grey (HRV-55)","Hex #EBE6D6","MTN Hardcore Spray Paint - NEW Arkalis Grey (HRV-55)"
"1649324846-16","https://www.sprayplanet.com/collections/hardcore","NEW Bone White (HRV-1013)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-bone-white","MTN Hardcore Spray Paint - NEW Bone White (HRV-1013)","Hex #F3EFD6","MTN Hardcore Spray Paint - NEW Bone White (HRV-1013)"
"1649324834-14","https://www.sprayplanet.com/collections/hardcore","NEW City Grey (HRV-57)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-city-grey","MTN Hardcore Spray Paint - NEW City Grey (HRV-57)","Hex #CABDB0","MTN Hardcore Spray Paint - NEW City Grey (HRV-57)"
"1649325224-83","https://www.sprayplanet.com/collections/hardcore","Babylon Blue (HRV-243)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-babylon-blue","MTN Hardcore Spray Paint - Babylon Blue (HRV-243)","Hex: #574A96","MTN Hardcore Spray Paint - Babylon Blue (HRV-243)"
"1649324969-41","https://www.sprayplanet.com/collections/hardcore","Cologno N. Green (HRV-237)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-cologno-n-green","MTN Hardcore Spray Paint - Cologno N. Green (HRV-237)","Hex: #6a8515","MTN Hardcore Spray Paint - Cologno N. Green (HRV-237)"
"1649324964-40","https://www.sprayplanet.com/collections/hardcore","Lutecia Green (HRV-5)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-lutecia-green","MTN Hardcore Spray Paint - Lutecia Green (HRV-5)","Hex: #005900","MTN Hardcore Spray Paint - Lutecia Green (HRV-5)"
"1649325219-82","https://www.sprayplanet.com/collections/hardcore","NEW Lewis Blue (HRV-32)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-lewis-blue","MTN Hardcore Spray Paint - NEW Lewis Blue (HRV-32)","Hex #40549f","MTN Hardcore Spray Paint - NEW Lewis Blue (HRV-32)"
"1649325538-129","https://www.sprayplanet.com/collections/hardcore","Atacama Yellow (HRV-206)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-atacama-yellow","MTN Hardcore Spray Paint - Atacama Yellow (HRV-206)","Hex: #FBCB8C","MTN Hardcore Spray Paint - Atacama Yellow (HRV-206)"
"1649325584-139","https://www.sprayplanet.com/collections/hardcore","White (HRV-9010)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_white","MTN Hardcore Spray Paint - White (HRV-9010)","Hex: #FFFFFF","MTN Hardcore Spray Paint - White (HRV-9010)"
"1649325471-117","https://www.sprayplanet.com/collections/hardcore","Prometheus Orange (HRV-210)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-prometheus-orange","MTN Hardcore Spray Paint - Prometheus Orange (HRV-210)","Hex: #910e14","MTN Hardcore Spray Paint - Prometheus Orange (HRV-210)"
"1649325512-125","https://www.sprayplanet.com/collections/hardcore","Mustard (HRV-8023)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mustard","MTN Hardcore Spray Paint - Mustard (HRV-8023)","Hex: #B9501A","MTN Hardcore Spray Paint - Mustard (HRV-8023)"
"1649324915-30","https://www.sprayplanet.com/collections/hardcore","Element Green (HRV-253)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-element-green","MTN Hardcore Spray Paint - Element Green (HRV-253)","Hex: #c5cc8f","MTN Hardcore Spray Paint - Element Green (HRV-253)"
"1649325577-137","https://www.sprayplanet.com/collections/hardcore","Matte White (HRVMatte White)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_matte_white","MTN Hardcore Spray Paint - Matte White (HRVMatte White)","Hex: #FFFFFF","MTN Hardcore Spray Paint - Matte White (HRVMatte White)"
"1649325442-112","https://www.sprayplanet.com/collections/hardcore","Vivid Red (HRV-3001)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-vivid-red","MTN Hardcore Spray Paint - Vivid Red (HRV-3001)","Hex: #C90019","MTN Hardcore Spray Paint - Vivid Red (HRV-3001)"
"1649324799-7","https://www.sprayplanet.com/collections/hardcore","Pearl Grey(HRV-7040)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-pearl-grey","MTN Hardcore Spray Paint - Pearl Grey(HRV-7040)","Hex: #7B7C7E","MTN Hardcore Spray Paint - Pearl Grey(HRV-7040)"
"1649324861-19","https://www.sprayplanet.com/collections/hardcore","NEW Tobacco Brown (HRV-8017)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-tobacco-brown","MTN Hardcore Spray Paint - NEW Tobacco Brown (HRV-8017)","Hex #CCE0AC","MTN Hardcore Spray Paint - NEW Tobacco Brown (HRV-8017)"
"1649325350-99","https://www.sprayplanet.com/collections/hardcore","Witch Violet (HRV-224)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-witch-violet","MTN Hardcore Spray Paint - Witch Violet (HRV-224)","Hex: #C8739F","MTN Hardcore Spray Paint - Witch Violet (HRV-224)"
"1649324850-17","https://www.sprayplanet.com/collections/hardcore","NEW Puchineli White (HRV-365)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-puccinelli-white","MTN Hardcore Spray Paint - NEW Puchineli White (HRV-365)","Hex #F9F7EA","MTN Hardcore Spray Paint - NEW Puchineli White (HRV-365)"
"1649325123-67","https://www.sprayplanet.com/collections/hardcore","Neptune Blue (HRV-218)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-neptune-blue","MTN Hardcore Spray Paint - Neptune Blue (HRV-218)","Hex: #004578","MTN Hardcore Spray Paint - Neptune Blue (HRV-218)"
"1649325068-56","https://www.sprayplanet.com/collections/hardcore","NEW Mururoa Blue (HRV-359)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-mururoa-blue","MTN Hardcore Spray Paint - NEW Mururoa Blue (HRV-359)","Hex #008C8D","MTN Hardcore Spray Paint - NEW Mururoa Blue (HRV-359)"
"1649325190-77","https://www.sprayplanet.com/collections/hardcore","Andromeda Blue (HRV-229)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-andromeda-blue","MTN Hardcore Spray Paint - Andromeda Blue (HRV-229)","Hex: #465499","MTN Hardcore Spray Paint - Andromeda Blue (HRV-229)"
"1649325083-59","https://www.sprayplanet.com/collections/hardcore","NEW Vintage Blue (HRV-356)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-vintage-blue","MTN Hardcore Spray Paint - NEW Vintage Blue (HRV-356)","Hex #97D2D0","MTN Hardcore Spray Paint - NEW Vintage Blue (HRV-356)"
"1649325211-80","https://www.sprayplanet.com/collections/hardcore","NEW Costa Brava Blue (HRV-74)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-costa-brava-blue","MTN Hardcore Spray Paint - NEW Costa Brava Blue (HRV-74)","Hex #94BFE5","MTN Hardcore Spray Paint - NEW Costa Brava Blue (HRV-74)"
"1649325006-49","https://www.sprayplanet.com/collections/hardcore","UFO Green (HRV-220)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-ufo-green","MTN Hardcore Spray Paint - UFO Green (HRV-220)","Hex: #5bb89e","MTN Hardcore Spray Paint - UFO Green (HRV-220)"
"1649325413-107","https://www.sprayplanet.com/collections/hardcore","Manga Pink (HRV-258)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-manga-pink","MTN Hardcore Spray Paint - Manga Pink (HRV-258)","Hex: #FFA2CA","MTN Hardcore Spray Paint - Manga Pink (HRV-258)"
"1649325108-64","https://www.sprayplanet.com/collections/hardcore","Cousteau Blue (HRV-231)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-cousteau-blue","MTN Hardcore Spray Paint - Cousteau Blue (HRV-231)","Hex: #1BB2C4","MTN Hardcore Spray Paint - Cousteau Blue (HRV-231)"
"1649324996-47","https://www.sprayplanet.com/collections/hardcore","Dark Green (HRV-6016)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-dark-green","MTN Hardcore Spray Paint - Dark Green (HRV-6016)","Hex: #008352","MTN Hardcore Spray Paint - Dark Green (HRV-6016)"
"1649324865-20","https://www.sprayplanet.com/collections/hardcore","Toasted Brown (HRV-8002)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-toasted-brown","MTN Hardcore Spray Paint - Toasted Brown (HRV-8002)","Hex: #8a5531","MTN Hardcore Spray Paint - Toasted Brown (HRV-8002)"
"1649324978-43","https://www.sprayplanet.com/collections/hardcore","Guacamole Green (HRV-34)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-guacamole-green","MTN Hardcore Spray Paint - Guacamole Green (HRV-34)","Hex: #88b14f","MTN Hardcore Spray Paint - Guacamole Green (HRV-34)"
"1649325102-63","https://www.sprayplanet.com/collections/hardcore","Glacier Blue (HRV-232)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-glacier-blue","MTN Hardcore Spray Paint - Glacier Blue (HRV-232)","Hex: #009CAB","MTN Hardcore Spray Paint - Glacier Blue (HRV-232)"
"1649325523-127","https://www.sprayplanet.com/collections/hardcore","Medium Yellow (HRV-1028)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-medium-yellow","MTN Hardcore Spray Paint - Medium Yellow (HRV-1028)","Hex: #F6A800","MTN Hardcore Spray Paint - Medium Yellow (HRV-1028)"
"1649325012-50","https://www.sprayplanet.com/collections/hardcore","Paris Green (HRV-219)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-paris-green","MTN Hardcore Spray Paint - Paris Green (HRV-219)","Hex: #8bc8aa","MTN Hardcore Spray Paint - Paris Green (HRV-219)"
"1649325204-79","https://www.sprayplanet.com/collections/hardcore","Waimea Blue (HRV-227)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-waimea-blue-1","MTN Hardcore Spray Paint - Waimea Blue (HRV-227)","Hex: #6F9FD0","MTN Hardcore Spray Paint - Waimea Blue (HRV-227)"
"1649324953-38","https://www.sprayplanet.com/collections/hardcore","Poison Green (HRV-235)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-poison-green","MTN Hardcore Spray Paint - Poison Green (HRV-235)","Hex: #dedd3a","MTN Hardcore Spray Paint - Poison Green (HRV-235)"
"1649325389-103","https://www.sprayplanet.com/collections/hardcore","Akari Red (HRV-212)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-akari-red","MTN Hardcore Spray Paint - Akari Red (HRV-212)","Hex: #C50041","MTN Hardcore Spray Paint - Akari Red (HRV-212)"
"1649325180-75","https://www.sprayplanet.com/collections/hardcore","Leviathan Blue (HRV-230)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-leviathan-blue","MTN Hardcore Spray Paint - Leviathan Blue (HRV-230)","Hex: #0D0F49","MTN Hardcore Spray Paint - Leviathan Blue (HRV-230)"
"1649325450-113","https://www.sprayplanet.com/collections/hardcore","Light Red (HRV-3020)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-light-red","MTN Hardcore Spray Paint - Light Red (HRV-3020)","Hex: #E5352D","MTN Hardcore Spray Paint - Light Red (HRV-3020)"
"1649325249-87","https://www.sprayplanet.com/collections/hardcore","NEW Aurora Blue (HRV-73)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-aurora-blue","MTN Hardcore Spray Paint - NEW Aurora Blue (HRV-73)","Hex #C8D3ED","MTN Hardcore Spray Paint - NEW Aurora Blue (HRV-73)"
"1649324795-6","https://www.sprayplanet.com/collections/hardcore","Dark Grey (HRV-7031)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-dark-grey","MTN Hardcore Spray Paint - Dark Grey (HRV-7031)","Hex: #616264","MTN Hardcore Spray Paint - Dark Grey (HRV-7031)"
"1649325238-85","https://www.sprayplanet.com/collections/hardcore","NEW Gala Blue (HRV-352)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-gala-blue","MTN Hardcore Spray Paint - NEW Gala Blue (HRV-352)","Hex #5d78ba","MTN Hardcore Spray Paint - NEW Gala Blue (HRV-352)"
"1649325088-60","https://www.sprayplanet.com/collections/hardcore","Indigo Blue (HRV-234)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-indigo-blue","MTN Hardcore Spray Paint - Indigo Blue (HRV-234)","Hex: #004750","MTN Hardcore Spray Paint - Indigo Blue (HRV-234)"
"1649324900-27","https://www.sprayplanet.com/collections/hardcore","Khaki Green (HRV-6013)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-khaki-green","MTN Hardcore Spray Paint - Khaki Green (HRV-6013)","#727e48","MTN Hardcore Spray Paint - Khaki Green (HRV-6013)"
"1649325184-76","https://www.sprayplanet.com/collections/hardcore","Ultramarine Blue (HRV-5002)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-ultramarine-blue","MTN Hardcore Spray Paint - Ultramarine Blue (HRV-5002)","Hex: #37306A","MTN Hardcore Spray Paint - Ultramarine Blue (HRV-5002)"
"1649325040-53","https://www.sprayplanet.com/collections/hardcore","NEW Ocean Blue (HRV-5020)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-ocean-blue","MTN Hardcore Spray Paint - NEW Ocean Blue (HRV-5020)","Hex #00454E","MTN Hardcore Spray Paint - NEW Ocean Blue (HRV-5020)"
"1649325591-141","https://www.sprayplanet.com/collections/hardcore","Satin Black (HRVSatin Black)","https://www.sprayplanet.com/collections/hardcore/products/hardcore_spray_paint_satin_black","MTN Hardcore Spray Paint - Satin Black (HRVSatin Black)","Hex: #000000","MTN Hardcore Spray Paint - Satin Black (HRVSatin Black)"
"1649325312-96","https://www.sprayplanet.com/collections/hardcore","Tube Violet (HRV-226)","https://www.sprayplanet.com/collections/hardcore/products/tube-violet","MTN Hardcore Spray Paint - Tube Violet (HRV-226)","Hex: #7C3F60","MTN Hardcore Spray Paint - Tube Violet (HRV-226)"
"1649324992-46","https://www.sprayplanet.com/collections/hardcore","Persephone Green (HRV-221)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-persephone-green","MTN Hardcore Spray Paint - Persephone Green (HRV-221)","Hex: #005231","MTN Hardcore Spray Paint - Persephone Green (HRV-221)"
"1649325136-69","https://www.sprayplanet.com/collections/hardcore","Electric Blue (HRV-30)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-electric-blue","MTN Hardcore Spray Paint - Electric Blue (HRV-30)","Hex: #007FC4","MTN Hardcore Spray Paint - Electric Blue (HRV-30)"
"1649325542-130","https://www.sprayplanet.com/collections/hardcore","Ganges Yellow (HRV-11)","https://www.sprayplanet.com/collections/hardcore/products/ganges-yellow","MTN Hardcore Spray Paint - Ganges Yellow (HRV-11)","Hex: #f4ca2a","MTN Hardcore Spray Paint - Ganges Yellow (HRV-11)"
"1649325588-140","https://www.sprayplanet.com/collections/hardcore","Matte Black (HRVMatte Black)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_matte_black","MTN Hardcore Spray Paint - Matte Black (HRVMatte Black)","Hex: #000000","MTN Hardcore Spray Paint - Matte Black (HRVMatte Black)"
"1649324856-18","https://www.sprayplanet.com/collections/hardcore","Chocolate Brown(HRV-35)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-chocolate-brown","MTN Hardcore Spray Paint - Chocolate Brown(HRV-35)","Hex: #4d2200","MTN Hardcore Spray Paint - Chocolate Brown(HRV-35)"
"1649324809-9","https://www.sprayplanet.com/collections/hardcore","NEW Squatter Grey (HRV-366)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-squatter-grey","MTN Hardcore Spray Paint - NEW Squatter Grey (HRV-366)","Hex #C4C5C6","MTN Hardcore Spray Paint - NEW Squatter Grey (HRV-366)"
"1649325408-106","https://www.sprayplanet.com/collections/hardcore","Love Pink (HRV-211)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-love-pink","MTN Hardcore Spray Paint - Love Pink (HRV-211)","Hex: #EE87AD","MTN Hardcore Spray Paint - Love Pink (HRV-211)"
"1649325061-55","https://www.sprayplanet.com/collections/hardcore","NEW Caribbean Blue (HRV-5021)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-caribbean-blue","MTN Hardcore Spray Paint - NEW Caribbean Blue (HRV-5021)","Hex #007F80","MTN Hardcore Spray Paint - NEW Caribbean Blue (HRV-5021)"
"1649325573-136","https://www.sprayplanet.com/collections/hardcore","Unicorn Yellow (HRV-252)","https://www.sprayplanet.com/collections/hardcore/products/mtn_hardcore_spray_paint_unicorn_yellow","MTN Hardcore Spray Paint - Unicorn Yellow (HRV-252)","Hex: #FFFFBF","MTN Hardcore Spray Paint - Unicorn Yellow (HRV-252)"
"1649325214-81","https://www.sprayplanet.com/collections/hardcore","NEW Universe Blue (HRV-354)","https://www.sprayplanet.com/collections/hardcore/products/mtn-hardcore-spray-paint-universe-blue","MTN Hardcore Spray Paint - NEW Universe Blue (HRV-354)","Hex #40549f","MTN Hardcore Spray Paint - NEW Universe Blue (HRV-354)"
